Time,Qin,h1,h2
0.0,1.0,0.0,0.0
0.2,1.0,0.1,0.0
0.4,1.0,0.17199050161106058,0.01400474919446971
0.6000000000000001,1.0,0.23525740315613458,0.027130312375625264
0.8,1.0,0.29229614607339915,0.0413163199143853
1.0,1.0,0.3444092292723296,0.05625783753874958
1.2000000000000002,1.0,0.3924284576871098,0.07174392970923163
1.4000000000000001,1.0,0.43694218165724963,0.08762479468495851
1.6,1.0,0.4783934734170224,0.10378956686820437
1.8,1.0,0.5171305165436553,0.1201534039025532
2.0,1.0,0.5534355058752343,0.13664967229389183
2.2,1.0,0.5875425726960755,0.15322497210281144
2.4000000000000004,1.0,0.6196495723468202,0.16983582303853234
2.6,1.0,0.649926196188433,0.18644637156973703
2.8000000000000003,1.0,0.6785197610058737,0.2030267530232762
3.0,1.0,0.7055594659721048,0.2195518896028762
3.2,1.0,0.731159601794942,0.23600058780923244
3.4000000000000004,1.0,0.7554220216437786,0.25235484714654605
3.6,1.0,0.7784380785462575,0.26859932147980087
3.8000000000000003,1.0,0.8002901686165573,0.2847208929693345
4.0,1.0,0.8210529774393655,0.30070833054551926
4.2,1.0,0.8407944991024034,0.3165520128962363
4.4,1.0,0.8595768784791786,0.33224370139465015
4.6000000000000005,1.0,0.8774571142547833,0.3477763521870127
4.800000000000001,1.0,0.8944876509106992,0.363143959345913
5.0,1.0,0.9107168812028665,0.3783414229285141
5.2,1.0,0.9261895757777054,0.39336443719350345
5.4,1.0,0.9409472529407464,0.40820939527890066
5.6000000000000005,1.0,0.9550284988620176,0.42287330743001195
5.800000000000001,1.0,0.968469246423632,0.4373537304647119
6.0,1.0,0.9813030193150079,0.45164870662224926
6.2,1.0,0.9935611467370168,0.46575671029768306
6.4,1.0,1.0052729530998217,0.4796766014425469
6.6000000000000005,1.0,1.0164659263259617,0.4934075846321275
6.800000000000001,1.0,1.0271658677530604,0.506949172974575
7.0,1.0,1.0373970261341532,0.5203011561771732
7.2,1.0,1.0471822178315757,0.5334635721981624
7.4,1.0,1.0565429349725504,0.5464366820043399
7.6000000000000005,1.0,1.0654994430656664,0.5592209470297146
7.800000000000001,1.0,1.0740708693555185,0.571817008992174
8.0,1.0,1.0822752830086129,0.5842256717761017
8.200000000000001,1.0,1.0901297680700488,0.5964478851312248
8.4,1.0,1.0976504900017414,0.6084847299733184
8.6,1.0,1.1048527565045247,0.6203374051020308
8.8,0.9923740458830438,1.1117510732347788,0.6320072151760573
9.0,0.9716267728331361,1.1175965995366377,0.6434955598069982
9.200000000000001,0.9508703428909848,1.1211221957341082,0.654787952988909
9.4,0.930201602284559,1.122424570378696,0.6658437755059632
9.600000000000001,0.9097120410005068,1.1216056133346444,0.6766255509753829
9.8,0.8894879975586497,1.1187719404271186,0.6870987979990607
10.0,0.8696108201103118,1.114034434461861,0.6972319047485165
10.200000000000001,0.8501569892811397,1.1075077812913596,0.7069960231278506
10.4,0.8311982075151942,1.0993099997205633,0.7163649800109271
10.600000000000001,0.8128014591478415,1.089561964208423,0.7253152033332689
10.8,0.795029045019415,1.078386919522335,0.7338256610467455
11.0,0.7779385951236383,1.0659099867366026,0.7418778111244054
11.200000000000001,0.7615830625516244,1.052257660231482,0.7494555609403983
11.4,0.7460107018335494,1.037557295645787,0.7565452344512688
11.600000000000001,0.7312650346871559,1.0219365890639074,0.7631355456745766
11.8,0.71738480614733,1.0055230480781172,0.7692175770028707
12.0,0.7044039340668793,0.9884434557597572,0.7747847609092852
12.200000000000001,0.6923514550379376,0.9708233289979773,0.7798328635992161
12.4,0.6812514698782458,0.9527863731207775,0.784359969144605
12.600000000000001,0.6711230919479395,0.9344539351968554,0.7883664626076556
12.8,0.6619804017000267,0.9159444589227712,0.7918550106242848
13.0,0.6538324110092066,0.8973729445199439,0.79483053787993
13.200000000000001,0.646683040954732,0.8788504175884986,0.7973001978780563
13.4,0.6405311168370045,0.8604834113749509,0.799273336382288
13.600000000000001,0.6353703842657525,0.8423734673892805,0.8007614459148532
13.8,0.6311895501492624,0.8246166597315521,0.8017781097260062
14.0,0.6279723523174215,0.8073031488329858,0.8023389337206839
14.200000000000001,0.6256976613043275,0.7905167705528849,0.8024614649491346
14.4,0.6243396174784275,0.7743346666715272,0.8021650954461073
14.600000000000001,0.6238678062224429,0.7588269627511828,0.8014709504451974
14.8,0.6242474732201692,0.7440564990770481,0.8004017603052331
15.0,0.6254397810991899,0.730078619917123,0.7989817158645262
15.200000000000001,0.6274021077145381,0.7169410256437451,0.7972363073820641
15.4,0.6300883852576583,0.7046836913400207,0.7951921477223861
15.600000000000001,0.633449478170377,0.6933388543860654,0.7928767809771544
15.8,0.6374335965810252,0.6829310722123285,0.7903184782696951
16.0,0.6419867407172131,0.6734773499651472,0.7875460230324424
16.2,0.6470531705534289,0.664987336311552,0.7845884885512577
16.400000000000002,0.6525758938918307,0.657463584085118,0.7814750110037847
16.6,0.658497165219459,0.6509018710167119,0.7782345615515841
16.8,0.6647589870941413,0.6452915744773322,0.7748957212524777
17.0,0.6713036055293803,0.6406160930520047,0.7714864626221252
17.2,0.6780739909004633,0.6368533069182372,0.7680339415835434
17.400000000000002,0.6850142962819401,0.6339760684564661,0.7645643033017868
17.6,0.6920702858288952,0.6319527142892958,0.7611025050207849
17.8,0.6991897267878839,0.6307475900257619,0.7576721585224526
18.0,0.7063227399073692,0.6303215793512158,0.75429539424424
18.2,0.7134221043400106,0.6306326297112758,0.7509927484545205
18.400000000000002,0.7204435145137039,0.6316362676368269,0.7477830742313393
